file,month,year,size
1158153059.txt,Sep,2006,4.448
1158175939.txt,Sep,2006,1.859
1158180188.txt,Sep,2006,6.164
1158204073.txt,Sep,2006,8.563
1158324958.txt,Sep,2006,11.976
1158336060.txt,Sep,2006,5.289
1158680269.txt,Sep,2006,2.098
1158770262.txt,Sep,2006,5.137
1159800386.txt,Oct,2006,1.698
1160140264.txt,Oct,2006,4.793
1160142338.txt,Oct,2006,2.176
1160755490.txt,Oct,2006,6.293
1160771811.txt,Oct,2006,2.919
1161261884.txt,Oct,2006,9.374
1163715685.txt,Nov,2006,18.17
1163771694.txt,Nov,2006,16.593
1164059987.txt,Nov,2006,2.569
1164120712.txt,Nov,2006,9.337
1167752455.txt,Jan,2007,7.599
1167754725.txt,Jan,2007,9.258
1167928837.txt,Jan,2007,6.585
1167961271.txt,Jan,2007,3.126
1168014304.txt,Jan,2007,3.292
1168022320.txt,Jan,2007,13.056
1168124326.txt,Jan,2007,2.98
1168288278.txt,Jan,2007,17.304
1168353155.txt,Jan,2007,1.811
1168356704.txt,Jan,2007,7.28
1168467907.txt,Jan,2007,6.415
1168883146.txt,Jan,2007,8.069
1168921050.txt,Jan,2007,4.707
1169050678.txt,Jan,2007,1.946
1169238969.txt,Jan,2007,11.753
1169653761.txt,Jan,2007,2.926
1170724434.txt,Dec,2006,23.918
1171550268.txt,Feb,2007,1.185
1171901402.txt,Feb,2007,1.35
1172063883.txt,Feb,2007,10.176
1172776463.txt,Mar,2007,4.78
1172871972.txt,Mar,2007,1.514
1172963659.txt,Mar,2007,5.069
1173300731.txt,Mar,2007,4.222
1173359793.txt,Mar,2007,12.12
1173420319.txt,Mar,2007,3.608
1175952951.txt,Apr,2007,2.845
1176225793.txt,Apr,2007,5.048
1176251075.txt,Apr,2007,5.408
1176746137.txt,Apr,2007,16.517
1177158252.txt,Apr,2007,7.932
1177163150.txt,Apr,2007,6.424
1177423054.txt,Apr,2007,12.504
1177534709.txt,Apr,2007,15.356
1177890796.txt,Apr,2007,2.798
1178107838.txt,May,2007,11.196
1179416790.txt,May,2007,2.849
1179765915.txt,May,2007,16.325
1180342271.txt,May,2007,10.328
1180536574.txt,May,2007,3.112
1180539376.txt,May,2007,4.375
1182179459.txt,Jun,2007,26.119
1182255717.txt,Jun,2007,9.929
1182342470.txt,Jun,2007,8.819
1182346299.txt,Jun,2007,9.985
1182361058.txt,Jun,2007,10.513
1182795642.txt,Jun,2007,10.509
1183499559.txt,Jul,2007,2.411
1183753398.txt,Jul,2007,6.71
1184779319.txt,Jul,2007,5.731
1188412866.txt,Aug,2007,7.06
1188478901.txt,Aug,2007,6.269
1188508827.txt,Aug,2007,11.466
1188557698.txt,Aug,2007,3.951
1189515774.txt,Sep,2007,5.161
1189536059.txt,Sep,2007,3.997
1189722851.txt,Sep,2007,3.022
1189797973.txt,Sep,2007,7.139
1191550129.txt,Oct,2007,1.974
1196795844.txt,Dec,2007,5.511
1196872660.txt,Dec,2007,13.582
1196877845.txt,Dec,2007,12.157
1196882357.txt,Dec,2007,9.719
1196956362.txt,Dec,2007,1.819
1196964260.txt,Dec,2007,10.961
1197325034.txt,Dec,2007,6.296
1197507092.txt,Dec,2007,2.384
1197590292.txt,Dec,2007,12.066
1197590293.txt,Dec,2007,12.113
1197660675.txt,Dec,2007,14.716
1197739308.txt,Dec,2007,15.206
1198443017.txt,Dec,2007,6.878
1198790779.txt,Dec,2007,10.502
1198984230.txt,Dec,2007,9.494
1199027884.txt,Dec,2007,7.242
1199286511.txt,Jan,2008,5.922
1199303943.txt,Jan,2008,3.619
1199325151.txt,Jan,2008,25.303
1199458641.txt,Jan,2008,3.75
1199466465.txt,Jan,2008,10.198
1199926335.txt,Jan,2008,18.73
1199972428.txt,Jan,2008,21.369
1199984805.txt,Jan,2008,13.84
1199988028.txt,Jan,2008,6.988
1199994210.txt,Jan,2008,3.537
1199999668.txt,Jan,2008,6.109
1200003656.txt,Jan,2008,5.13
1200010023.txt,Jan,2008,9.382
1200059003.txt,Jan,2008,2.384
1200076878.txt,Jan,2008,8.042
1200090166.txt,Jan,2008,4.968
1200112408.txt,Jan,2008,6.906
1200162026.txt,Jan,2008,11.548
1200319411.txt,Jan,2008,3.047
1200421039.txt,Jan,2008,2.406
1200425298.txt,Jan,2008,4.867
1200426564.txt,Nov,2007,37.351
1200493432.txt,Jan,2008,10.168
1200651426.txt,Jan,2008,24.786
1201561936.txt,Jan,2008,18.595
1201724331.txt,Jan,2008,3.855
1202939193.txt,Feb,2008,8.36
1203620834.txt,Feb,2008,27.43
1203631942.txt,Feb,2008,21.97
1203693276.txt,Feb,2008,1.584
1204315423.txt,Feb,2008,5.795
1205413129.txt,Mar,2008,9.969
1206549942.txt,Mar,2008,1.616
1206628118.txt,Mar,2008,6.178
1207158227.txt,Apr,2008,5.301
1208278112.txt,Apr,2008,3.729
1209080077.txt,Apr,2008,11.383
1209143958.txt,Apr,2008,9.582
1209474516.txt,Apr,2008,10.398
1210030332.txt,May,2008,1.879
1210079946.txt,May,2008,2.304
1210178552.txt,Apr,2008,8.597
1210341221.txt,May,2008,3.606
1210367056.txt,May,2008,5.341
1210695733.txt,May,2008,5.659
1211040378.txt,May,2008,5.69
1211215007.txt,May,2008,8.167
1211225754.txt,May,2008,7.332
1211462932.txt,May,2008,6.201
1211491089.txt,May,2008,13.135
1211816659.txt,May,2008,4.523
1211911286.txt,May,2008,2.197
1211924186.txt,May,2008,1.735
1212009215.txt,May,2008,6.355
1212009927.txt,May,2008,6.058
1212026314.txt,May,2008,5.785
1212063122.txt,May,2008,1.668
1212067640.txt,May,2008,8.211
1212073451.txt,May,2008,0.891
1212088415.txt,May,2008,5.769
1212156886.txt,May,2008,2.097
1212166714.txt,May,2008,2.182
1212276269.txt,May,2008,10.356
1212413521.txt,Jun,2008,5.585
1212435868.txt,Jun,2008,1.724
1212587222.txt,Jun,2008,4.346
1212686327.txt,Jun,2008,4.161
1212924720.txt,Jun,2008,3.91
1213201481.txt,Jun,2008,9.703
1213387146.txt,Jun,2008,1.943
1213882741.txt,Jun,2008,4.191
1214228874.txt,Jun,2008,3.912
1214229243.txt,Jun,2008,1.189
1215477224.txt,Jul,2008,3.39
1215712600.txt,Jul,2008,6.275
1215713915.txt,Jul,2008,11.693
1216753979.txt,Jul,2008,2.719
1217431501.txt,Jul,2008,16.106
1219078495.txt,Aug,2008,8.821
1219239172.txt,Aug,2008,11.146
1219844013.txt,Aug,2008,5.886
1219861908.txt,Aug,2008,8.382
1220039621.txt,Aug,2008,2.063
1221683947.txt,Sep,2008,12.226
1221742524.txt,Jul,2008,10.43
1221851501.txt,Sep,2008,3.329
1222285054.txt,Sep,2008,0.905
1222901025.txt,Oct,2008,3.174
1223915581.txt,Oct,2008,2.922
1224005421.txt,Oct,2008,4.216
1224035484.txt,Oct,2008,7.096
1224176459.txt,Oct,2008,10.463
1225026120.txt,Oct,2008,2.28
1225140121.txt,Oct,2008,1.046
1225412081.txt,Oct,2008,6.004
1225462391.txt,Oct,2008,5.231
1225465306.txt,Oct,2008,9.065
1225579812.txt,Nov,2008,10.811
1226337052.txt,Nov,2008,3.812
1226451442.txt,Nov,2008,9.931
1226456830.txt,Nov,2008,10.523
1226500291.txt,Nov,2008,10.64
1226959467.txt,Nov,2008,6.706
1228249747.txt,Dec,2008,5.753
1228258714.txt,Dec,2008,5.654
1228330629.txt,Dec,2008,6.444
1228412429.txt,Dec,2008,8.389
1228841349.txt,Dec,2008,3.79
1228922050.txt,Dec,2008,4.884
1229468467.txt,Dec,2008,6.521
1229712795.txt,Dec,2008,5.552
1230052094.txt,Dec,2008,4.493
1231166089.txt,Jan,2009,10.225
1231190304.txt,Jan,2009,13.071
1231254297.txt,Jan,2009,15.364
1231257056.txt,Jan,2009,11.592
1231279297.txt,Jan,2009,18.557
1231350711.txt,Jan,2009,21.955
1232064755.txt,Jan,2009,4.12
1233245601.txt,Jan,2009,2.952
1233249393.txt,Jan,2009,2.607
1233326033.txt,Jan,2009,8.486
1233586975.txt,Feb,2009,8.113
1234277656.txt,Feb,2009,8.655
1234302123.txt,Feb,2009,8.97
1234821995.txt,Feb,2009,15.201
1236358770.txt,Mar,2009,8.835
1236958090.txt,Mar,2009,7.978
1236962118.txt,Mar,2009,5.351
1237289045.txt,Mar,2009,8.913
1237474374.txt,Mar,2009,1.824
1237480766.txt,Mar,2009,3.851
1237496573.txt,Mar,2009,5.674
1237805013.txt,Mar,2009,0.985
1239572061.txt,Apr,2009,3.864
1240254197.txt,Apr,2009,3.472
1240398230.txt,Apr,2009,7.04
1241415427.txt,May,2009,30.859
1242132884.txt,May,2009,2.18
1242136391.txt,May,2009,7.031
1242749575.txt,May,2009,5.711
1243369385.txt,May,2009,3.109
1243432634.txt,May,2009,7.249
1243527777.txt,May,2009,11.173
1244067818.txt,Jun,2009,1.428
1245773909.txt,Jun,2009,25.787
1245941966.txt,Jun,2009,9.162
1245943185.txt,Jun,2009,4.298
1246458696.txt,Jul,2009,3.499
1246479448.txt,Jul,2009,4.796
1246479579.txt,Jul,2009,2.422
1247199598.txt,Jul,2009,2.846
1248785856.txt,Jul,2009,71.839
1248790545.txt,Jul,2009,32.551
1248862973.txt,Jul,2009,98.156
1248877389.txt,Jul,2009,5.678
1248902393.txt,Jul,2009,6.179
1248916539.txt,Jul,2009,10.572
1248979991.txt,Jul,2009,1.505
1248993704.txt,Jul,2009,20.013
1248998466.txt,Jul,2009,1.325
1249007192.txt,Jul,2009,2.881
1249042511.txt,Jul,2009,6.834
1249045162.txt,Jul,2009,18.811
1249052097.txt,Jul,2009,2.59
1249052848.txt,Jul,2009,1.278
1249313699.txt,Aug,2009,2.943
1249326482.txt,Aug,2009,1.858
1249503274.txt,Aug,2009,3.572
1249652050.txt,Aug,2009,23.516
1249655311.txt,Aug,2009,2.049
1250169233.txt,Aug,2009,1.386
1250174764.txt,Aug,2009,1.16
1251384906.txt,Aug,2009,3.914
1252090220.txt,Sep,2009,2.621
1252154659.txt,Sep,2009,5.602
1252164302.txt,Sep,2009,8.501
1252233095.txt,Sep,2009,7.742
1252672219.txt,Sep,2009,6.616
1253561029.txt,Sep,2009,3.865
1253631628.txt,Sep,2009,6.047
1254108338.txt,Sep,2009,2.131
1254147614.txt,Sep,2009,5.125
1254163301.txt,Sep,2009,2.062
1254163518.txt,Sep,2009,8.266
1254175144.txt,Sep,2009,0.754
1254179301.txt,Sep,2009,9.342
1254230232.txt,Sep,2009,5.899
1254232855.txt,Sep,2009,10.516
1254235516.txt,Sep,2009,1.698
1254258663.txt,Sep,2009,4.933
1254259645.txt,Sep,2009,7.535
1254323180.txt,Sep,2009,10.78
1254345174.txt,Sep,2009,11.731
1254345329.txt,Sep,2009,2.278
1254364959.txt,Sep,2009,2.557
1254409004.txt,Oct,2009,3.667
1254501801.txt,Oct,2009,2.873
1254505571.txt,Oct,2009,5.608
1254517566.txt,Oct,2009,5.26
1254518902.txt,Oct,2009,5.082
1254746802.txt,Oct,2009,7.765
1254751382.txt,Oct,2009,80.326
1254754536.txt,Oct,2009,6.088
1254756944.txt,Oct,2009,3.793
1254760537.txt,Oct,2009,2.153
1254832684.txt,Oct,2009,4.45
1254850534.txt,Oct,2009,9.831
1255027691.txt,Oct,2009,6.806
1255095172.txt,Oct,2009,18.568
1255100876.txt,Oct,2009,18.217
1255298593.txt,Oct,2009,9.155
1255318331.txt,Oct,2009,2.845
1255352257.txt,Oct,2009,6.556
1255352444.txt,Oct,2009,4.324
1255477545.txt,Oct,2009,13.597
1255496484.txt,Oct,2009,7.329
1255523796.txt,Oct,2009,11.99
1255530325.txt,Oct,2009,10.136
1255532032.txt,Oct,2009,13.343
1255538481.txt,Oct,2009,15.95
1255550975.txt,Oct,2009,8.375
1255553034.txt,Oct,2009,11.84
1255558867.txt,Oct,2009,12.166
1256214796.txt,Oct,2009,5.72
1256302524.txt,Oct,2009,2.23
1256353124.txt,Oct,2009,1.389
1256735067.txt,Oct,2009,6.391
1256747199.txt,Oct,2009,1.215
1256760240.txt,Oct,2009,7.239
1256765544.txt,Oct,2009,18.923
1257532857.txt,Nov,2009,1.801
1257546975.txt,Nov,2009,0.436
1257847147.txt,Nov,2009,4.843
1257874826.txt,Nov,2009,14.945
1257881012.txt,Nov,2009,4.634
1257888920.txt,Nov,2009,3.773
1258039134.txt,Nov,2009,2.73
1258053464.txt,Nov,2009,0.682
