file,month,year,size
0962724639.txt,Jul,2000,4.662
0962818260.txt,Jul,2000,1.605
0963233839.txt,Jul,2000,11.302
0963250650.txt,Jul,2000,4.769
0965139790.txt,Aug,2000,1.01
0965416206.txt,Aug,2000,3.573
0965671134.txt,Aug,2000,1.375
0965750123.txt,Aug,2000,6.106
0966015630.txt,Aug,2000,5.771
0966633586.txt,Aug,2000,3.303
0967041809.txt,Aug,2000,7.343
0967231160.txt,Aug,2000,2.043
0968127296.txt,Sep,2000,3.529
0968367517.txt,Sep,2000,1.264
0968450529.txt,Sep,2000,4.445
0968691929.txt,Sep,2000,0.883
0968705882.txt,Sep,2000,8.776
0968774000.txt,Sep,2000,7.529
0968941827.txt,Sep,2000,2.19
0969308584.txt,Sep,2000,2.85
0969618170.txt,Sep,2000,3.811
0969640598.txt,Sep,2000,3.061
0969652057.txt,Sep,2000,4.671
0969652335.txt,Sep,2000,8.097
0969891412.txt,Sep,2000,2.159
0969912361.txt,Sep,2000,4.503
0970663670.txt,Oct,2000,1.119
0970664328.txt,Oct,2000,4.847
0970842624.txt,Oct,2000,1.701
0971129284.txt,Oct,2000,3.725
0971992541.txt,Oct,2000,3.797
0972415204.txt,Oct,2000,1.289
0972499087.txt,Oct,2000,5.051
0972649870.txt,Oct,2000,1.811
0973374325.txt,Nov,2000,1.996
0973867989.txt,Nov,2000,0.29
0974731263.txt,Nov,2000,2.902
0975693499.txt,Dec,2000,3.71
0976640129.txt,Dec,2000,5.217
0976807838.txt,Dec,2000,6.257
0981068343.txt,Feb,2001,2.555
0981859677.txt,Feb,2001,4.901
0983196231.txt,Feb,2001,40.475
0983204299.txt,Feb,2001,6.108
0983207072.txt,Feb,2001,24.089
0983280741.txt,Feb,2001,1.649
0983286849.txt,Feb,2001,5.901
0983452785.txt,Mar,2001,13.289
0983552403.txt,Mar,2001,3.003
0983566497.txt,Mar,2001,8.714
0984598451.txt,Mar,2001,6.963
0984692311.txt,Mar,2001,2.149
0984770757.txt,Mar,2001,5.603
0984799044.txt,Mar,2001,15.251
0986407807.txt,Apr,2001,2.454
0986486371.txt,Apr,2001,12.365
0986499438.txt,Apr,2001,5.332
0988466058.txt,Apr,2001,6.188
0988831541.txt,May,2001,27.026
0990119702.txt,May,2001,7.349
0990718382.txt,May,2001,12.17
0990718506.txt,Jan,2001,32.967
0992021888.txt,Jun,2001,2.197
0992349996.txt,Jun,2001,17.766
0992879415.txt,Jun,2001,7.633
0993768960.txt,Jun,2001,2.062
0993841811.txt,Jun,2001,10.218
0994083845.txt,Jul,2001,2.994
0994186877.txt,Jul,2001,15.399
0994187098.txt,Jul,2001,14.575
0994859893.txt,Jul,2001,7.551
0995978954.txt,Jul,2001,7.419
0998078193.txt,Aug,2001,4.551
0998156340.txt,Aug,2001,1.641
0998401270.txt,Aug,2001,6.718
0998926751.txt,Aug,2001,16.689
0999293834.txt,Aug,2001,4.817
1000132513.txt,Sep,2001,9.936
1000140042.txt,Sep,2001,0.947
1000154718.txt,Sep,2001,4.186
1000168453.txt,Sep,2001,4.76
1000242208.txt,Sep,2001,1.84
1001695888.txt,Sep,2001,5.337
1006983600.txt,Nov,2001,7.104
1008167369.txt,Dec,2001,1.448
1008619994.txt,Dec,2001,5.47
1011732147.txt,Jan,2002,1.573
1014240346.txt,Nov,2001,3.581
1015388778.txt,Mar,2002,2.499
1016746746.txt,Mar,2002,2.335
1016818778.txt,Mar,2002,2.866
1016831188.txt,Mar,2002,5.408
1016896740.txt,Mar,2002,1.31
1018045075.txt,Apr,2002,6.783
1018539404.txt,Apr,2002,15.322
1018623296.txt,Apr,2002,1.573
1018629153.txt,Apr,2002,6.423
1018647333.txt,Apr,2002,34.049
1018889093.txt,Apr,2002,15.729
1018893474.txt,Apr,2002,11.133
1019513684.txt,Apr,2002,14.93
1021757151.txt,May,2002,1.667
1024334440.txt,Jun,2002,1.563
1029248202.txt,Aug,2002,4.888
1029966978.txt,Aug,2002,1.723
1031762366.txt,Sep,2002,2.629
1031923640.txt,Sep,2002,4.67
1033599602.txt,Oct,2002,2.195
1034341705.txt,Oct,2002,1.349
1035838207.txt,Oct,2002,5.997
1036182485.txt,Nov,2002,10.364
1036591086.txt,Nov,2002,1.647
1037241376.txt,Nov,2002,3.572
1037394925.txt,Nov,2002,9.278
1037719165.txt,Nov,2002,3.175
1038027690.txt,Nov,2002,7.112
1038353689.txt,Nov,2002,4.553
1038842251.txt,Dec,2002,2.674
1038859764.txt,Dec,2002,1.567
1041862404.txt,Jan,2003,4.288
1042941949.txt,Jan,2003,7.54
1043775215.txt,Jan,2003,4.196
1044469169.txt,Feb,2003,5.572
1045082703.txt,Feb,2003,2.596
1047335806.txt,Mar,2003,6.829
1047388489.txt,Mar,2003,7.165
